epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,51439.3,0.46994,0.28433,0.83766,0.98088,0.99436,0.9914,0.85395,0.50076,0.26121,0.77618,0.0001486,0.0001486,0.0001486
88,52006,0.46995,0.28588,0.83992,0.9853,0.99302,0.99098,0.85694,0.49943,0.25746,0.77614,0.0001387,0.0001387,0.0001387
89,52573.5,0.47211,0.28736,0.83858,0.98983,0.99529,0.99356,0.85978,0.49538,0.25233,0.77557,0.0001288,0.0001288,0.0001288
90,53152.8,0.46745,0.28541,0.8393,0.97813,0.995,0.99154,0.85549,0.49531,0.25898,0.77919,0.0001189,0.0001189,0.0001189
91,53708,0.48793,0.27504,0.82456,0.98503,0.99036,0.99108,0.84482,0.52163,0.28024,0.78527,0.000109,0.000109,0.000109
92,54257.7,0.47906,0.26766,0.81728,0.9868,0.99321,0.99226,0.85283,0.49897,0.26666,0.7787,9.91e-05,9.91e-05,9.91e-05
93,54821,0.4776,0.2605,0.81527,0.98825,0.99376,0.99204,0.85318,0.50118,0.26009,0.77705,8.92e-05,8.92e-05,8.92e-05
94,55379.6,0.472,0.25876,0.81709,0.98649,0.99331,0.99222,0.85408,0.49794,0.25984,0.77502,7.93e-05,7.93e-05,7.93e-05
95,55930.6,0.47746,0.26023,0.81583,0.98571,0.99201,0.98939,0.84733,0.51074,0.26216,0.77668,6.94e-05,6.94e-05,6.94e-05
96,56482.1,0.47159,0.2575,0.81368,0.98869,0.99413,0.99243,0.8565,0.50197,0.26037,0.77579,5.95e-05,5.95e-05,5.95e-05
97,57035.2,0.46966,0.25584,0.81738,0.98581,0.99514,0.99276,0.85712,0.49494,0.25346,0.77595,4.96e-05,4.96e-05,4.96e-05
98,57584.8,0.46457,0.25158,0.81581,0.98599,0.99436,0.9926,0.85756,0.49619,0.25373,0.77509,3.97e-05,3.97e-05,3.97e-05
99,58130.3,0.46254,0.25047,0.81269,0.98477,0.99468,0.99247,0.85675,0.49558,0.25285,0.77636,2.98e-05,2.98e-05,2.98e-05
100,58676.4,0.46552,0.24996,0.81057,0.98752,0.99419,0.99259,0.85926,0.49454,0.25181,0.77542,1.99e-05,1.99e-05,1.99e-05
